id,start_time,end_time,result,session_date,device_id
210,2025-08-23T06:07:36.066Z,2025-08-23T06:07:40.628Z,30,23/08/2025,68A2FA6D
211,2025-08-23T06:07:48.058Z,2025-08-23T06:08:23.927Z,45,23/08/2025,68A2FA6D
212,2025-08-23T06:12:06.047Z,2025-08-23T06:12:29.017Z,0,23/08/2025,68A2FA6D
213,2025-08-23T06:12:56.949Z,2025-08-23T06:13:09.247Z,30,23/08/2025,68A2FA6D
214,2025-08-23T06:13:32.604Z,2025-08-23T06:13:53.668Z,90,23/08/2025,68A2FA6D
215,2025-08-23T06:14:08.753Z,2025-08-23T06:14:14.544Z,30,23/08/2025,68A2FA6D
216,2025-08-23T06:15:09.087Z,2025-08-23T06:15:29.574Z,60,23/08/2025,68A2FA6D
217,2025-08-23T06:16:47.567Z,2025-08-23T06:17:09.150Z,0,23/08/2025,68A2FA6D
218,2025-08-23T06:17:16.472Z,2025-08-23T06:17:46.632Z,0,23/08/2025,68A2FA6D
219,2025-08-23T06:19:29.569Z,2025-08-23T06:19:55.607Z,30,23/08/2025,68A2FA6D
220,2025-08-23T06:21:52.590Z,2025-08-23T06:22:28.352Z,60,23/08/2025,68A2FA6D
221,2025-08-23T06:23:35.820Z,2025-08-23T06:23:56.123Z,120,23/08/2025,68A2FA6D
222,2025-08-23T06:25:45.275Z,2025-08-23T06:26:18.664Z,60,23/08/2025,68A2FA6D
223,2025-08-23T06:26:49.983Z,2025-08-23T06:27:25.399Z,90,23/08/2025,68A2FA6D
224,2025-08-23T06:28:03.214Z,2025-08-23T06:28:32.841Z,120,23/08/2025,68A2FA6D
225,2025-08-23T06:29:22.408Z,2025-08-23T06:29:27.344Z,0,23/08/2025,68A2FA6D
226,2025-08-23T06:30:08.921Z,2025-08-23T06:30:12.523Z,60,23/08/2025,68A2FA6D
227,2025-08-23T06:30:23.154Z,2025-08-23T06:30:49.608Z,0,23/08/2025,68A2FA6D
228,2025-08-23T06:31:46.549Z,2025-08-23T06:32:15.296Z,90,23/08/2025,68A2FA6D
229,2025-08-23T06:32:35.810Z,2025-08-23T06:33:05.637Z,60,23/08/2025,68A2FA6D
230,2025-08-23T06:34:17.547Z,2025-08-23T06:34:39.703Z,90,23/08/2025,68A2FA6D
231,2025-08-23T06:35:14.612Z,2025-08-23T06:35:45.385Z,60,23/08/2025,68A2FA6D
232,2025-08-23T06:36:55.040Z,2025-08-23T06:37:30.176Z,60,23/08/2025,68A2FA6D
233,2025-08-23T06:38:48.288Z,2025-08-23T06:39:24.358Z,0,23/08/2025,68A2FA6D
234,2025-08-23T06:39:48.394Z,2025-08-23T06:40:18.567Z,120,23/08/2025,68A2FA6D
235,2025-08-23T06:40:51.835Z,2025-08-23T06:41:16.152Z,60,23/08/2025,68A2FA6D
236,2025-08-23T06:42:11.495Z,2025-08-23T06:42:42.802Z,90,23/08/2025,68A2FA6D
237,2025-08-23T06:43:13.882Z,2025-08-23T06:43:39.213Z,60,23/08/2025,68A2FA6D
238,2025-08-23T06:44:04.784Z,2025-08-23T06:44:39.492Z,30,23/08/2025,68A2FA6D
239,2025-08-23T06:45:35.182Z,2025-08-23T06:45:38.410Z,0,23/08/2025,68A2FA6D
240,2025-08-23T06:45:51.189Z,2025-08-23T06:46:21.562Z,90,23/08/2025,68A2FA6D
241,2025-08-23T06:46:44.438Z,2025-08-23T06:47:09.769Z,90,23/08/2025,68A2FA6D
242,2025-08-23T06:47:26.857Z,2025-08-23T06:47:53.881Z,90,23/08/2025,68A2FA6D
243,2025-08-23T06:47:58.750Z,2025-08-23T06:48:20.879Z,120,23/08/2025,68A2FA6D
244,2025-08-23T06:49:02.737Z,2025-08-23T06:49:27.629Z,-30,23/08/2025,68A2FA6D
245,2025-08-23T06:50:48.181Z,2025-08-23T06:51:22.116Z,90,23/08/2025,68A2FA6D
246,2025-08-23T06:52:12.457Z,2025-08-23T06:52:43.965Z,120,23/08/2025,68A2FA6D
247,2025-08-23T06:53:07.254Z,2025-08-23T06:53:35.773Z,120,23/08/2025,68A2FA6D
248,2025-08-23T06:54:15.950Z,2025-08-23T06:54:47.178Z,60,23/08/2025,68A2FA6D
249,2025-08-23T06:54:59.809Z,2025-08-23T06:55:25.513Z,60,23/08/2025,68A2FA6D
250,2025-08-23T06:58:00.712Z,2025-08-23T06:58:37.408Z,0,23/08/2025,68A2FA6D
251,2025-08-23T06:59:10.742Z,2025-08-23T06:59:41.515Z,60,23/08/2025,68A2FA6D
252,2025-08-23T07:00:34.512Z,2025-08-23T07:01:07.312Z,90,23/08/2025,68A2FA6D
253,2025-08-23T07:01:47.849Z,2025-08-23T07:02:02.509Z,90,23/08/2025,68A2FA6D
254,2025-08-23T07:02:11.592Z,2025-08-23T07:02:15.662Z,0,23/08/2025,68A2FA6D
255,2025-08-23T07:02:22.344Z,2025-08-23T07:02:26.546Z,30,23/08/2025,68A2FA6D
